user_friendly_name;manufacturer_name;product_code_id;Identified Name;Refresh Rate;Size;Aspect Ratio;Lag;VRR Lag;Method;Source;Note
iMac;APP;A032;21.5-inch iMac with Retina 4K display;60;21.5;1.78;;;;;
ASUS VG249;AUS;2421;Asus TUF Gaming VG249Q;144;23.8;1.78;;;;no data;
VG278;AUS;2720;Asus VG278QR(/QF);165;27.0;1.78;;;;no data;
VG27A;AUS;2722;ASUS TUF VG27AQ;165;27.0;1.78;3.5;6.3;rtings;https://www.rtings.com/monitor/reviews/asus/tuf-vg27aq;
VG279;AUS;2782;Asus VG279Q (possibly other non M models);144;27.0;1.78;4.3;4.5;rtings;https://www.rtings.com/monitor/reviews/asus/vg279q#page-test-results;
VG279;AUS;2782;Asus VG279Q;144;27.0;1.78;4.3;4.5;rtings;https://www.rtings.com/monitor/reviews/asus/vg279q#page-test-results;
VG27B;AUS;2785;Asus TUF Gaming VG27BQ;155;27.0;1.78;;;;no data;
VG27B;AUS;2786;Asus TUF Gaming VG27BQ;155;27.0;1.78;;;;no data;
ASUS XG35V;AUS;3551;Asus ROG Strix XG35VQ;100;35.0;1.78;2.25;?;smtt 2.0;https://www.tftcentral.co.uk/reviews/asus_rog_strix_xg35vq.htm#lag;
VG245;AUS;24A1;ASUS VG245H (possible HE/HEY/Q);75;24.0;1.78;10;-1;leobodnar;https://displaylag.com/display-database/;
MG248;AUS;24A3;Asus MG248Q (or QR);144;24.0;1.78;2.15;?;smtt 2.0;https://www.tftcentral.co.uk/reviews/asus_mg248q.htm#lag;
MG248;AUS;24A4;Asus MG248Q (or QR);144;24.0;1.78;2.15;?;smtt 2.0;https://www.tftcentral.co.uk/reviews/asus_mg248q.htm#lag;
VG248;AUS;24AC;ASUS VG248QG;165;24.0;1.78;;;;no data;
ASUS VP249;AUS;24AF;Asus VP249QGR;144;23.8;1.78;;;;no data;
ROG PG248Q;AUS;24B1;Asus ROG PG248Q;180;24.0;1.78;2.46;?;smtt 2.0;https://pcmonitors.info/reviews/asus-pg248q/#Responsiveness;
XG248Q;AUS;24B3;Asus ROG Strix XG248Q;240;23.8;1.78;;;;no data;
VG258;AUS;25A4;Asus VG258QR;165;24.0;1.78;;;;no data;
VG259QM;AUS;25A9;ASUS TUF Gaming VG259QM;280;25.0;1.78;1.9;2.2;rtings;https://www.rtings.com/monitor/reviews/asus/tuf-gaming-vg259qm#page-test-results;
