product_string;manufacturer_string;vendor_id;product_id;version_number;Identified name;lag
Wireless Controller;Sony Interactive Entertainment;0x054C;0x0CE6;0x0100;Sony DualSense (wired);7.194034958
Wireless Gamepad;Nintendo;0x057E;0x2009;0x0000;Nintendo Switch Pro Controller (bluetooth);11.70208381
Pro Controller;Nintendo Co., Ltd.;0x057E;0x2009;0x0200;Nintendo Switch Pro Controller (wired);19.39770958
Controller (XBOX 360 For Windows);;0x0581;0x0106;0x021A;Unknown Controller;
USB Gamepad          ;;0x0810;0x0001;0x0106;PS1/PS2 adapter;
NVIDIA Controller v01.04;NVIDIA Corporation;0x0955;0x7214;0x0525;NVIDIA SHIELD Controller v01.04;
Controller (Afterglow Gamepad for Xbox 360);;0x0E6F;0x0213;0x0000;Afterglow Gamepad for Xbox 360;
Controller (Wired Controller for Xbox 360);;0x0E6F;0x0501;0x0000;Hi-TEC Essentials Wired Gamepad;
SteelSeries Stratus XL;SteelSeries;0x1038;0x1418;0x0145;SteelSeries Stratus XL (wired);13.56576427
Controller (XBOX 360 For Windows);;0x1038;0x1710;0x0068;Incorrect product id Xbox 360;
Controller (Revolution Pro Controller 3);;0x146B;0x0611;0x0000;Nacon Revolution Pro Controller 3;
Controller (XBOX 360 For Windows);;0x1532;0x008A;0x0101;Unknown Razer;
Razer Raiju Tournament Edition Wired;Razer;0x1532;0x1007;0x0101;Razer Raiju Tournament Edition Wired;
Controller (Afterglow Gamepad for Xbox 360);;0x24C6;0xFAFD;0x0000;Afterglow Gamepad for Xbox 360;
Valve;Valve Software;0x28DE;0x1102;0x0100;Valve Steam Controller (wired);7.390166042
;;0x28DE;0x1106;0x0001;Valve Steam Controller (bluetooth);14.83713175
Steam Controller;Valve Software;0x28DE;0x1142;0x0001;Valve Steam Controller (dongle);12.4105095
SCUF Controller;SCUF Gaming;0x2E95;0x7725;0x0525;Unspecified Scuf Controller ;
Controller (XBOX 360 For Windows);;0x8087;0x0A1E;0x0200;Unknown probably Bluetooth controller;
ASTRO C40;ASTRO Gaming;0x9886;0x0024;0x0078;Astro C40;
